name,salary_from,salary_to,salary_currency,area_name,published_at
Тестировщик ПО / QA Engineer,40000,130000,RUR,Самара,2022-12-01T00:38:07+0300
Заместитель начальника управления информационной безопасности коммерческого банка,250000,270000,RUR,Москва,2022-12-01T01:11:43+0300
Контент-менеджер,25000,50000,RUR,Астана,2022-12-01T00:05:58+0300
Контент-менеджер,25000,50000,RUR,Алматы,2022-12-01T00:05:58+0300
Фрезеровщик,50000,,RUR,Владивосток,2022-12-01T01:58:56+0300
Электромеханик связи,69000,89000,RUR,Уссурийск,2022-12-01T01:56:10+0300
Фрезеровщик,50000,,RUR,Арсеньев,2022-12-01T01:58:56+0300
Токарь,50000,,RUR,Владивосток,2022-12-01T01:53:37+0300
Токарь,50000,,RUR,Уссурийск,2022-12-01T01:53:37+0300
Токарь,50000,,RUR,Арсеньев,2022-12-01T01:53:37+0300
Фрезеровщик,50000,,RUR,Уссурийск,2022-12-01T01:58:56+0300
Контент менеджер,25000,50000,RUR,Иваново (Ивановская область),2022-12-01T00:33:01+0300
Сигналист на участок Улак-Февральск,70000,70000,RUR,Зея,2022-12-01T01:56:10+0300
Контент менеджер,25000,50000,RUR,Бишкек,2022-12-01T00:05:58+0300
Веб-дизайнер,30000,100000,RUR,Уфа,2022-12-01T02:00:51+0300
Заместитель главного механика (Камчатский край),,350000,RUR,Красноярск,2022-12-01T03:15:50+0300
Оператор станка,50000,,RUR,Хабаровск,2022-12-01T03:52:31+0300
Электромеханик по ремонту и обслуживанию карьерных электрических экскаваторов (наладчик),220000,,RUR,Новосибирск,2022-12-01T03:27:51+0300
Эксперт по производству компьютерных экспертиз,45000,,RUR,Уфа,2022-12-01T04:37:18+0300
Специалист по сопровождению 1С/Стажер,23000,28000,RUR,Барнаул,2022-12-01T05:07:05+0300
Водитель,35000,,RUR,Комсомольск-на-Амуре,2022-12-01T04:47:05+0300
Инженер сервисного обслуживания сельскохозяйственной техники,50000,150000,RUR,Минусинск,2022-12-01T05:21:22+0300
1С разработчик,500000,700000,KZT,Алматы,2022-12-01T05:34:36+0300
Оператор электроэрозионного проволочно-вырезного станка,60000,60000,RUR,Новосибирск,2022-12-01T04:46:56+0300
Специалист технической поддержки,35000,55000,RUR,Владивосток,2022-12-01T05:07:00+0300
Радиомеханик по ремонту РЭО,40000,60000,RUR,Владивосток,2022-12-01T04:28:35+0300
Токарь-универсал,40000,,RUR,Новокузнецк,2022-12-01T05:22:49+0300
Механик холодильного цеха,,45000,RUR,Калачинск,2022-12-01T05:23:36+0300
Специалист технической поддержки,40000,40000,RUR,Красноярск,2022-12-01T05:18:30+0300
Фрезеровщик,40000,50000,RUR,Новокузнецк,2022-12-01T05:20:16+0300
Специалист по защите информации,34000,,RUR,Иркутск,2022-12-01T04:32:56+0300
"Механик, г. Улан-Удэ",40000,,RUR,Улан-Удэ,2022-12-01T05:24:10+0300
Инсталлятор / Специалист по подключению абонентов / Монтажник интернет-сетей,54000,,RUR,Дальнереченск,2022-12-01T04:33:15+0300
"Линейный механик (горное предприятие, механическая служба)",130000,,RUR,Чита,2022-12-01T04:52:36+0300
Токарь,40000,50000,RUR,Новокузнецк,2022-12-01T05:21:03+0300
Инсталлятор / Специалист по подключению абонентов / Монтажник интернет-сетей,54000,,RUR,Свободный,2022-12-01T04:32:26+0300
Инженер технической поддержки (сервисный инженер),220000,317000,KZT,Кокшетау,2022-12-01T07:19:58+0300
IT Support Engineer,,150000,KZT,Атырау,2022-12-01T07:50:45+0300
Инженер-электроник,75000,100000,RUR,Пермь,2022-12-01T07:24:15+0300
Сервисный инженер / техник,30000,50000,RUR,Ульяновск,2022-12-01T07:21:34+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),150000,,RUR,Самара,2022-12-01T07:40:44+0300
Оператор станков с ЧПУ (резчик/закальщик/полировщик стекла),130000,400000,KZT,Астана,2022-12-01T07:42:14+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),150000,,RUR,Санкт-Петербург,2022-12-01T07:40:30+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),150000,,RUR,Уфа,2022-12-01T07:39:58+0300
Мастер по ремонту печатного оборудования,200000,,KZT,Астана,2022-12-01T07:52:32+0300
Токарь (Пермь),106000,126000,RUR,Тюмень,2022-12-01T07:39:10+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),150000,,RUR,Екатеринбург,2022-12-01T07:41:22+0300
"Оператор станков с ЧПУ 3х, 5 осевой (стойка HEIDENHAIN)",80000,,RUR,Екатеринбург,2022-12-01T06:41:07+0300
Фрезеровщик (Пермь),106000,126000,RUR,Москва,2022-12-01T07:55:10+0300
Fullstack разработчик (C#),500000,1000000,KZT,Алматы,2022-12-01T06:19:55+0300
Токарь,50000,,RUR,Майкоп,2022-12-01T07:52:07+0300
Токарь (Пермь),106000,126000,RUR,Теплая Гора,2022-12-01T07:40:26+0300
Токарь (Пермь),106000,126000,RUR,Пашия,2022-12-01T07:40:26+0300
Оператор по компьютерной обработке,123000,125000,KZT,Караганда,2022-12-01T07:04:07+0300
Токарь (Пермь),106000,126000,RUR,Александровск (Пермский край),2022-12-01T07:40:26+0300
Аналитик,20000,25000,RUR,Пермь,2022-12-01T06:16:12+0300
Фрезеровщик (Пермь),106000,126000,RUR,Тюмень,2022-12-01T07:55:10+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),150000,,RUR,Новосибирск,2022-12-01T07:41:09+0300
Токарь (Пермь),106000,126000,RUR,Оренбург,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Ростов-на-Дону,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Казань,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Уфа,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Кизел,2022-12-01T07:40:26+0300
Фрезеровщик (Пермь),106000,126000,RUR,Краснодар,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Пермь,2022-12-01T07:41:21+0300
Фрезеровщик (Пермь),106000,126000,RUR,Самара,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Самара,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Пермь,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Ульяновск,2022-12-01T07:55:10+0300
Сервисный инженер,180000,230000,KZT,Костанай,2022-12-01T07:57:56+0300
Фрезеровщик (Пермь),106000,126000,RUR,Верещагино,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Челябинск,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Нижний Новгород,2022-12-01T07:39:10+0300
Специалист чат-поддержки,33000,38000,RUR,Саранск,2022-12-01T06:43:48+0300
Токарь (Пермь),106000,126000,RUR,Владимир,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Уфа,2022-12-01T07:55:10+0300
